stock_id,近一日收盤價,近一季股本,近一季合約負債_流動,當月營收,rev_year_growth_營收年增率,rev_month_growth_營收月增率,累計營收,近3月平均營收,近12月平均營收,近一季營業毛利率,最近一季營業毛利年增率,近一季營業利益率,近一季營業利益年增率,近一季稅後淨利率,近一季稅後淨利率,近一季稅後淨利年增率,近一季每股盈餘EPS,eps_growth_rate_EPS年增率,近一日殖利率,近一季存貨,最近一日外資買賣超張數,最近一日投信買賣超張數,name,category,A+B+C+D+E,外資+投信
8104,9,9,8,8,2,2,8,9,9,9,3,7,3,7,7,3,7,3,4,9,10,5,錸寶,"['平面顯示器', '平面顯示器:面板', '平面顯示器:顯示器模組']",14,15
3645,8,10,6,10,8,8,8,9,8,3,10,3,8,3,3,8,4,2,2,7,10,6,達邁,"['印刷電路板', '印刷電路板:聚亞醯胺樹脂']",36,16
4747,9,10,9,10,1,8,9,10,10,2,6,2,3,3,3,4,3,2,4,5,1,6,強生,"['製藥', '製藥:中、西藥製劑', '製藥:藥品代理銷售及通路']",16,7
3357,10,8,6,9,9,3,8,9,9,7,2,7,2,7,7,2,7,2,8,8,10,5,臺慶科,"['被動元件', '被動元件:電感器', '被動元件:電感器材料(如鐵氧體、導電漿墨)']",17,15
1436,10,10,10,10,9,4,9,10,10,10,5,2,4,2,2,5,2,6,6,10,10,10,華友聯,"['建材營造', '建材營造:建設業']",29,20
2250,10,10,10,9,2,2,9,9,10,9,10,9,10,10,10,10,9,1,9,8,1,6,無資料,無資料,33,7
3322,10,10,6,7,4,2,7,9,9,4,6,2,2,4,4,4,4,8,7,8,9,6,建舜電,"['連接器', '連接器:連接器設計、組裝及製造', '電腦及週邊設備', '電腦及週邊設備:隨身碟、記憶卡讀卡機']",24,15
5011,7,10,9,9,5,4,9,9,9,2,2,3,2,3,3,2,3,4,7,7,10,6,久陽,"['鋼鐵', '鋼鐵:螺絲螺帽']",15,16
6558,8,10,8,7,2,9,7,7,7,7,10,2,9,7,7,9,7,2,4,6,9,6,興能高,"['能源元件', '能源元件:電池芯']",32,15
6624,8,10,9,10,9,2,9,10,10,6,3,2,3,2,2,9,2,3,8,9,1,6,萬年清,"['其他', '其他:環保潔能服務產業']",27,7
3413,10,10,10,10,8,8,9,10,9,7,2,7,3,9,9,8,9,8,6,8,10,1,京鼎,"['LED照明產業', 'LED照明產業:燈具_應用', '半導體', '半導體:生產製程及檢測設備']",29,11
3708,10,10,8,8,9,2,8,9,9,9,8,7,4,8,8,9,7,9,8,8,2,6,上緯投控,"['風力發電', '風力發電:樹酯', '風力發電:玻_碳纖']",39,8
8050,9,10,10,9,4,2,8,9,9,4,1,2,2,10,10,4,7,4,3,9,4,5,廣積,"['電腦及週邊設備', '電腦及週邊設備:工業電腦']",15,9
6182,6,10,9,9,4,5,7,8,8,5,2,2,2,4,4,2,3,3,6,9,3,8,合晶,"['半導體', '半導體:晶圓製造']",13,11
4155,8,10,10,10,8,9,8,10,9,5,2,6,3,8,8,10,6,9,6,10,9,6,訊映,"['醫療器材', '醫療器材:醫療耗材']",32,15
3701,9,6,8,8,5,3,8,9,9,7,6,9,4,8,8,7,8,8,10,9,2,6,大眾控,"['電腦及週邊設備', '電腦及週邊設備:其他電腦及週邊設備之零組件', '電腦及週邊設備:工業電腦']",30,8
5543,8,10,9,9,3,8,9,9,9,5,9,7,9,8,8,9,9,3,5,8,9,6,桓鼎-KY,"['建材營造', '建材營造:建材原料', '能源元件', '能源元件:電池模組']",33,15
2201,9,4,6,7,8,5,7,8,8,9,4,8,4,8,8,5,8,6,7,8,9,6,裕隆,"['汽車', '汽車:整車組裝、修理及技術服務']",27,15
6196,10,10,10,10,5,4,10,10,10,1,2,2,1,6,6,4,9,4,3,10,8,6,帆宣,"['其他', '其他:其他電子產品及電子服務產業']",16,14
6438,10,10,6,9,2,8,9,9,9,8,3,6,2,8,8,2,7,4,8,8,10,6,迅得,"['印刷電路板', '印刷電路板:生產製程及檢測設備', '平面顯示器', '平面顯示器:生產製程及檢測設備']",13,16
