date,發行量加權股價報酬指數,sharpe,sharpe_MA_20,sharpe_MA_60,sharpe_MA_100
2004-04-21,6961.64,2.0648595728317063,2.084933361265544,2.033019109335535,
2004-04-22,6881.75,2.015682528306066,2.102253785874258,2.0437604388017525,
2004-04-23,6898.11,2.1355491809293627,2.1224008427776515,2.055145565547674,
2004-04-26,6859.88,2.0975459827012033,2.1302045576908126,2.0672936780611377,
2004-04-27,6794.56,2.3039956455027553,2.1485318795203017,2.0836820345958396,
2004-04-28,6720.91,2.442663932811348,2.1707274285190703,2.1032606744331894,
2004-04-29,6544.53,2.415674215360974,2.1815826671016927,2.1233485607230516,
2004-04-30,6253.81,2.0652659820563546,2.1750151374802713,2.136214428380838,
2004-05-03,6163.81,2.0541610919783517,2.1617952948877783,2.146183942486407,
2004-05-04,6326.0,2.1225919727810734,2.1563061683631846,2.1576499303893533,
2004-05-05,5984.64,1.7767854180100826,2.139741838759196,2.1604788942040902,
2004-05-06,6041.43,1.7994557010733545,2.127216943738733,2.1621158468645185,
2004-05-07,6174.81,1.8357563232231915,2.117234340332684,2.1613152738708665,
2004-05-10,5954.81,1.7433901304603565,2.096625506016367,2.1583218760082308,
2004-05-11,6017.49,1.7344018033056294,2.0751866923155697,2.1548535722200675,
2004-05-12,6091.53,1.7711277680307334,2.0520689143211865,2.1495777366091833,
2004-05-13,6049.92,1.6622092482858988,2.025051455979077,2.1413260592754453,
2004-05-14,5906.02,1.5336870289305424,1.990305969292513,2.134153873757056,
2004-05-17,5605.38,1.271838694321875,1.9496740996381487,2.1206044354205935,
2004-05-18,5681.77,1.382455722327187,1.9114548971614025,2.1088669156801454,
2004-05-19,5991.6,1.6126188449845928,1.8888428607690464,2.100276432268536,
2004-05-20,5946.21,1.5817825885128265,1.8671478637793846,2.0905188215795847,
2004-05-21,6099.2,1.7222736247953956,1.8464840859726863,2.083468270152484,
2004-05-24,6075.82,1.6505467877229731,1.8241341262237747,2.0701782345401796,
2004-05-25,6092.81,1.5871435260823104,1.7882915202527527,2.05486049987372,
2004-05-26,6163.28,1.5289166697342935,1.7426041570989,2.0386418189052766,
2004-05-27,6171.62,1.5494264143780576,1.699291767049754,2.0232100920364444,
2004-05-28,6278.22,1.5986851327159368,1.675962724582733,2.0092728679082987,
2004-05-31,6115.32,1.409900060663313,1.6437496730169812,1.9909729569779324,
2004-06-01,6123.97,1.403758376503984,1.6078079932031268,1.97128513025474,
2004-06-02,6010.89,1.1964104890400993,1.5787892467546274,1.9485030008453357,1.8952342654464605
2004-06-03,5801.97,1.0452774810380747,1.5410803357528635,1.9225014053027865,1.8893684199160725
2004-06-04,5856.9,1.031164285514835,1.5008507338674457,1.8960265024136385,1.8841199075462114
2004-06-07,6072.69,1.1746866130124167,1.4724155579950486,1.8756386743768643,1.880498887672223
2004-06-08,6125.23,1.1358629503880324,1.442488615349169,1.856189130537905,1.876657090234952
2004-06-09,6103.78,1.1154140488989972,1.409702929392582,1.8382483907367975,1.8739181966488778
2004-06-10,6004.72,1.0677641054086666,1.3799806722487205,1.814580252993496,1.8699930965732094
2004-06-11,5869.47,0.9004481874617536,1.348318730175281,1.790512143256222,1.8648326370704178
2004-06-14,5710.29,0.7759921199833276,1.3235264014583537,1.7717121237573679,1.8596415395976031
2004-06-15,5789.22,0.824246318564423,1.2956159312702153,1.7578951584344495,1.8541175303767872
2004-06-16,5700.8,0.6895621017756723,1.2494630941097695,1.7410797720481201,1.8474726565770845
2004-06-17,5811.1,0.747225017756389,1.2077352155719476,1.7257122884085299,1.8412328791513182
2004-06-18,5713.58,0.6294852676903449,1.1530957977166951,1.7073269088223444,1.8330033160664805
2004-06-21,5701.61,0.6583481895579104,1.1034858678084418,1.68594151724101,1.825900205643126
2004-06-23,5879.15,0.8517427293933035,1.0667158279739914,1.6678464092490153,1.8212106904028524
2004-06-24,5936.62,0.9026008711841741,1.0354000380464856,1.649577207888152,1.8175572436889906
2004-06-25,5960.87,0.8984630003074942,1.0028518673429574,1.6279087671648014,1.8144378633123734
2004-06-28,5867.7,0.8613998244482569,0.9659876019295733,1.6056551546641926,1.8101187223309643
2004-06-29,5900.69,0.8980379696562073,0.9403944973792182,1.581979821761326,1.8045391995710838
2004-06-30,6002.11,0.9722890157768874,0.9188210293428632,1.5609783969697248,1.7999157627428095
2004-07-01,6014.17,0.8622350099770627,0.9021122553897115,1.5402144469678452,1.7924676369513222
2004-07-02,5921.45,0.7312257050032844,0.8864096665879722,1.5182356486931896,1.7827675085868782
2004-07-05,5832.1,0.6587309504189849,0.8677879998331794,1.4952910246777698,1.770516911062645
2004-07-06,5908.49,0.666813499642921,0.8423943441647047,1.4704784693920403,1.7579551060368892
2004-07-07,5905.33,0.529674102480002,0.8120849017693033,1.4432534031446806,1.7438268467557347
2004-07-08,5899.31,0.4883696388687066,0.7807326812677886,1.4141681749938526,1.7278337640975843
2004-07-09,5965.76,0.541811411163285,0.7544350465555196,1.3864890582611056,1.711678779326115
2004-07-12,5949.53,0.5914310868962069,0.7389841915272423,1.359202963665012,1.6979529085947385
2004-07-13,5896.52,0.5850965330608632,0.729439412181119,1.3342133044258737,1.6829558239802507
2004-07-14,5833.42,0.45168336062188663,0.7108112642839921,1.3059606975718698,1.6666055885189288
2004-07-15,5753.47,0.40293377379521383,0.6964798478849693,1.278261934254595,1.6493544477600692
2004-07-16,5711.43,0.31018177820642434,0.674627685907471,1.2498369217529344,1.6307838732436346
2004-07-19,5698.25,0.3903788675788488,0.6626723659018963,1.220750749863759,1.6132345948152087
2004-07-20,5531.04,0.27204382227520973,0.6433571475377612,1.1903257138566594,1.5914755437933485
2004-07-21,5624.88,0.3978034308371129,0.6206601826099516,1.1585558436122319,1.5703915020410206
2004-07-22,5608.95,0.3479039389948044,0.5929253360004831,1.1236431770486228,1.5488501661525595
2004-07-23,5608.45,0.32542962257911706,0.5642736671140642,1.0888057671689253,1.527351162113271
2004-07-26,5565.06,0.1896860135715125,0.530687976570227,1.0575461010275111,1.5048988364449392
2004-07-27,5636.08,0.24952117541346744,0.49826213685809007,1.0274687690847633,1.4823151010342213
2004-07-28,5623.98,0.19539383073277644,0.4594173776058845,0.9953488000506249,1.458418759542594
2004-07-29,5593.94,0.257589723431026,0.4291851132785827,0.9700288718076405,1.4353612742408601
2004-07-30,5670.9,0.3279543303109011,0.4090215445439635,0.9455038489615997,1.412587085408059
2004-08-02,5601.67,0.26560170074896794,0.3893650820604627,0.9193346052536959,1.3890465178269116
2004-08-03,5620.96,0.2217629630025294,0.3671125552284431,0.8939741524627323,1.3672845845047479
2004-08-04,5577.1,0.19699032245541537,0.3504783662272138,0.8683506277818953,1.3462261319220463
2004-08-05,5697.83,0.3802737842928839,0.3450735734984226,0.845169728052931,1.3281102853953206
2004-08-06,5668.99,0.38547537768408824,0.3372567718244628,0.8238908302095675,1.307086515472094
2004-08-09,5672.17,0.35868219302802024,0.32561932713105346,0.8043074162778588,1.2872279896853922
2004-08-10,5668.81,0.37751783556055635,0.31524039225603817,0.7894020686318369,1.2719632351418522
2004-08-11,5644.54,0.37335461065455994,0.3113239547576718,0.7725837167706265,1.2591641388690025
2004-08-12,5648.25,0.3421379354669932,0.30828416284126076,0.7514090349453331,1.245600665374118
2004-08-13,5671.35,0.20994199557492776,0.3032721737096859,0.7285450250630349,1.2310073449685495
2004-08-16,5631.73,0.18348370666793684,0.2929274156641403,0.7028985264275771,1.2155161016066138
2004-08-17,5623.75,0.13289232110348134,0.28596984060555386,0.6776042853172524,1.1974303079732689
2004-08-18,5713.9,0.17893233921252527,0.27502628602432455,0.6541340988694225,1.1798451392762643
2004-08-19,5898.75,0.3172113664457196,0.2734916573968703,0.6339390104812798,1.1630297234123619
2004-08-20,5920.15,0.30797177655271696,0.2726187650955503,0.6132480998508573,1.1441237467408039
2004-08-23,5962.91,0.28587478558124807,0.27742820369603705,0.5913679273986125,1.1250163288517685
2004-08-26,6128.36,0.3752652926623444,0.28371540955848096,0.5741240145985963,1.1055834023401097
2004-08-27,6111.83,0.333692158354695,0.29063032593957683,0.5562895776294415,1.086596578890927
2004-08-30,6104.11,0.4261963209133138,0.29906065581369123,0.5434526748273285,1.0697778219991618
2004-08-31,6079.49,0.4125237028161499,0.30328912443895367,0.5329067785236298,1.0534035230124972
2004-09-01,6177.14,0.5023377787529835,0.3151259283391544,0.5240930034109322,1.0380728168865854
2004-09-02,6172.19,0.4024919529584194,0.324162377836949,0.5112230924100323,1.0205420682483024
2004-09-03,6075.48,0.3039828107332875,0.32951200225084254,0.49735842341578645,1.0019501155824195
2004-09-06,6091.14,0.29682953100387643,0.3253397895863922,0.4837153481175345,0.9825835776132744
2004-09-07,6165.96,0.3805592318673435,0.325093982295555,0.4722619335585125,0.9643635857806668
2004-09-08,6165.11,0.41589067470238605,0.32795440637927326,0.46418597501252296,0.9462365249010726
2004-09-09,6162.97,0.4038687692639528,0.32927195306444307,0.45798391916720005,0.9294304517196206
2004-09-10,6166.41,0.34043401768211407,0.32762592341582075,0.4499203808191616,0.9113663941778205
2004-09-13,6253.0,0.43437691756241464,0.33223787252059184,0.4456672944156073,0.8950615676251276
2004-09-14,6244.74,0.4717442584816179,0.3453279856659264,0.44107594842769443,0.879622184926883
2004-09-15,6193.54,0.4199035583272889,0.3571489782488939,0.43758291993831017,0.8624657287008624
2004-09-16,6214.71,0.45091232905309936,0.3730499786463749,0.43412565559656335,0.8459993921643814
2004-09-17,6138.08,0.3405836973082476,0.38113254655116097,0.4256063383951457,0.8263652726824362
2004-09-20,6186.86,0.33855741542486323,0.3821998490001181,0.4162056141324905,0.8053242075085714
2004-09-21,6276.24,0.3967749170845214,0.3866400060267084,0.40784414607877434,0.7851352145258069
2004-09-22,6298.32,0.4064108684358828,0.3926668101694401,0.40026099681190147,0.7685466633896021
2004-09-23,6263.58,0.4444382557149681,0.3961254583220713,0.39270100157954746,0.7524494350269683
2004-09-24,6216.06,0.4056189579630317,0.3997217983024881,0.3832565006159832,0.7352797048787879
2004-09-27,6170.71,0.3456589636034197,0.39569493043699344,0.37464689984308913,0.7209684403347214
2004-09-29,6129.25,0.34242068620319893,0.3921897796063459,0.368166816196421,0.7063980901860198
2004-09-30,6167.3,0.3975229198184029,0.38694903665961683,0.36381334901974466,0.6920157561519719
2004-10-01,6272.47,0.4740482458624628,0.390526851304819,0.36060059479007034,0.6793223373059929
2004-10-04,6412.42,0.5908127376130078,0.404868347648805,0.3616195720422871,0.6678864466490667
2004-10-05,6415.65,0.6156047372844854,0.4208071079628355,0.3637401570158834,0.6563312163416042
2004-10-06,6394.27,0.5136107590129355,0.42745968432011516,0.36327014614671094,0.6448452314488746
2004-10-07,6438.99,0.5076845459447695,0.43204937788223424,0.36187437046418697,0.6345852066190169
2004-10-08,6438.1,0.43174657772722475,0.4334432683053979,0.359318537875293,0.6261842854530704
2004-10-11,6424.51,0.4187203596191603,0.4373575854022501,0.35876915452524755,0.6165469318259901
2004-10-12,6308.75,0.36624991123549905,0.4339512350859044,0.35815775681591894,0.6040832424884992
2004-10-13,6291.36,0.3195270048959391,0.4263403724066205,0.3583135105940776,0.5914606866523303
2004-10-14,6152.17,0.15044437791909637,0.4128674133862108,0.35431460243308166,0.5757423941835672
2004-10-15,6141.36,0.16724861832988258,0.39868422785005,0.35256801570065954,0.5609094124896363
2004-10-18,6089.97,0.14164841727019947,0.38873746384814756,0.3482987654745443,0.5464544614015153
2004-10-19,6127.61,0.08827823770578654,0.3762235049621937,0.3439716704530607,0.5320480770812303
2004-10-20,6107.09,0.06907341026749707,0.3598384296213425,0.3396990669145337,0.5172445470401246
2004-10-21,6116.68,0.05096899672505923,0.34206633603580133,0.3373871166337595,0.5017673856802157
2004-10-22,6092.86,0.04589403837467798,0.32213912516878684,0.33399333101644635,0.4881273254573295
2004-10-26,5974.92,-0.022736542179457593,0.3007213501616624,0.3303578248012425,0.47386237627049504
2004-10-27,5962.35,0.031393496964579805,0.2850080768297204,0.3265878876934683,0.4622122063497398
2004-10-28,6009.4,0.08932320828438897,0.27235320293377985,0.3226107023263598,0.45265266362220297
2004-10-29,6020.34,0.0680436513824369,0.2558792395119816,0.31931806817025093,0.443021457280879
2004-11-01,5967.84,-0.052708508282291025,0.22954140180474386,0.3147435436488372,0.4307475060679319
2004-11-02,6076.98,0.01095957883915224,0.2005487438660511,0.3116430312552329,0.41949847235244314
2004-11-03,6185.91,0.07843924264007046,0.17369046913383035,0.30661245556101935,0.4091287242898538
2004-11-04,6183.67,0.12074450919519181,0.15404715664294316,0.30220027441953773,0.3996585283277191
2004-11-05,6258.13,0.14199029642087585,0.13576244416674849,0.29858874280941866,0.39207394941731033
2004-11-08,6264.72,0.13145508967483505,0.12074786976412902,0.29448769704465666,0.3856285791142254
2004-11-09,6272.89,0.1138564343408376,0.10550467350021286,0.29016272743942795,0.3785246802719896
2004-11-10,6276.36,0.20613459596650782,0.09749890773676331,0.2878960051144198,0.3736904052138979
2004-11-11,6198.31,0.12222332501070379,0.08763372374250154,0.28643402727168277,0.3674403882864411
2004-11-12,6243.31,0.1515195799201222,0.08768748384255284,0.28590129182588586,0.36266073140873883
2004-11-15,6232.26,0.16999592845881184,0.0878248493489993,0.28651968528180805,0.3577772087977478
2004-11-16,6236.64,0.20087943661765362,0.09078640031637202,0.28688547023856015,0.3512685758699914
2004-11-17,6360.97,0.24756143286540516,0.09875056007435293,0.28572463801222164,0.3447181814868036
2004-11-18,6382.93,0.25564312542914197,0.10807904583243517,0.28485249382682876,0.33828998273802013
2004-11-19,6358.72,0.3051065848516492,0.12078592523876468,0.28517302381466875,0.3327270503420541
2004-11-22,6160.22,0.1798559206111249,0.127484019350587,0.28191620094714837,0.3255452298516033
2004-11-23,6173.6,0.24188170878630944,0.14071493189887538,0.2803860267876753,0.31824115678169745
2004-11-24,6237.13,0.3076698458900584,0.15452874934514932,0.2784105855372877,0.3126955051408274
2004-11-25,6177.97,0.27042623554825934,0.16358390070834283,0.2760422944161562,0.30808751044627714
2004-11-26,6097.16,0.22105061025136186,0.17123424865178907,0.2713541749411291,0.3037107070446009
2004-11-29,6104.13,0.19729468712444487,0.18373440842212588,0.2679342205105629,0.29901551891941613
2004-11-30,6166.92,0.24081801107377318,0.19522733003385692,0.266881473849571,0.2961269580053539
2004-12-01,6118.23,0.29475210083697917,0.20604297294370238,0.2668468500134561,0.2941907826250366
2004-12-02,6191.38,0.321966659090871,0.2161040804384863,0.26587030713384824,0.29199233510431244
