date,PR5,PR25,PR50,PR75,PR95,平均數,sharpe,sharpe_MA_20,sharpe_MA_60
2010-12-31,99.655,107.225,114.0,125.6,207.19999999999982,130.3633744855967,,,
2011-01-03,99.7,107.0,114.0,125.45,206.39999999999986,130.25020408163263,,,
2011-01-04,99.835,107.0,114.0,125.25,205.19999999999982,130.06209677419355,-0.3142675166884011,,
2011-01-05,100.0,107.2,113.65,125.95,206.19999999999993,130.1317813765182,-0.37689076707331587,,
2011-01-06,100.0,107.55,114.0,124.95,210.79999999999995,130.38056680161944,-0.46120537835023184,,
2011-01-07,100.0,107.55,113.5,124.9,206.79999999999995,130.22651821862348,-0.46730871442195837,,
2011-01-10,100.0,107.57499999999999,113.05,126.025,205.89999999999986,130.0665322580645,-0.5017467672448427,,
2011-01-11,100.0,107.5,113.1,125.5,205.59999999999997,129.96485943775102,-0.4768226565945904,,
2011-01-12,100.02,107.8,113.5,125.3,209.2,130.36104417670683,-0.39726436099801127,,
2011-01-13,100.05,107.5,113.5,124.975,209.0,130.25418326693227,-0.4321031749883564,,
2011-01-14,100.0,107.2,113.3,125.3375,208.7,130.13188976377953,-0.4871980719509728,,
2011-01-17,100.0,107.5,113.825,123.7125,208.7,130.2507874015748,-0.4664013376347193,,
2011-01-18,100.0,107.5,114.0,123.9375,210.7,130.2513779527559,-0.5219490223940655,,
2011-01-19,100.03999999999999,107.0,113.9,126.8,210.39999999999998,130.21556420233463,-0.6967988272509311,,
2011-01-20,100.03999999999999,107.4,114.0,126.0,212.39999999999998,130.26070038910507,-0.7074010664450081,,
2011-01-21,100.0,107.2,113.95,125.9,212.2,130.00984555984556,-0.7530662771978237,,
2011-01-24,100.0,107.0,113.95,124.69999999999999,212.09999999999997,129.70057692307694,-0.7448477437931464,,
2011-01-25,100.0,107.30000000000001,114.0,125.625,212.09999999999997,129.76961538461538,-0.6396365178225167,,
2011-01-26,100.10249999999999,107.1,114.0,125.5,211.79999999999995,129.97652671755725,-0.5559018275215868,,
2011-01-27,100.14,107.0,114.0,126.0,211.19999999999993,129.80999999999997,-0.3707365264888176,,
2011-01-28,100.02,107.1,114.2,126.0,212.79999999999998,130.10867924528304,-0.17656352386038537,,
2011-02-08,100.31,107.0,114.45,126.0,212.79999999999998,130.2,-0.1403793724691941,-0.48442447255944376,
2011-02-09,100.1,107.0,114.0,123.9,212.85,130.07424242424244,-0.07483491657693057,-0.4724528425538702,
2011-02-10,100.1,107.0,114.0,124.1625,212.85,130.00151515151515,-0.041403749998551946,-0.45567849170013197,
2011-02-11,100.1,106.4,113.75,122.9,212.79999999999998,129.47698113207545,-0.05781002779176272,-0.4355087241722086,
2011-02-14,100.02,106.5,113.5,123.05,212.79999999999998,129.92018867924529,0.4954727315396806,-0.38736965187412664,
2011-02-15,100.02,106.5,113.0,123.7,213.79999999999998,130.16037735849056,0.5211825237039844,-0.33622318732668527,
2011-02-16,100.0,106.5,113.0,123.375,214.0,130.12180451127819,0.8087310110437084,-0.27194550394477035,
2011-02-17,100.03,106.4,113.5,123.5,214.0,130.14719101123598,1.0530926307330417,-0.1994276543582177,
