stock_id,近一日收盤價,近一季股本,近一季合約負債_流動,當月營收,rev_year_growth_營收年增率,rev_month_growth_營收月增率,累計營收,近3月平均營收,近12月平均營收,近一季營業毛利率,最近一季營業毛利年增率,近一季營業利益率,近一季營業利益年增率,近一季稅後淨利率,近一季稅後淨利率,近一季稅後淨利年增率,近一季每股盈餘EPS,eps_growth_rate_EPS年增率,近一日殖利率,近一季存貨,最近一日外資買賣超張數,最近一日投信買賣超張數,name,category,S+A+B+C+D+E,外資+投信
6187,9.0,5.0,6.0,4.0,7.0,5.0,3.0,4.0,3.0,9.0,2.0,4.0,2.0,6.0,6.0,2.0,5.0,3.0,5.0,6.0,4.0,6.0,萬潤,"['其他', '其他:其他電子產品及電子服務產業']",25.0,10.0
4580,9.0,2.0,3.0,5.0,3.0,2.0,6.0,5.0,5.0,7.0,6.0,9.0,7.0,8.0,8.0,6.0,9.0,7.0,9.0,6.0,,,捷流閥業,"['電機機械', '電機機械:傳動元件', '電機機械:鋼鑄鐵元件']",38.0,
8411,2.0,8.0,6.0,8.0,5.0,9.0,8.0,8.0,8.0,2.0,9.0,5.0,10.0,3.0,3.0,9.0,4.0,2.0,2.0,7.0,4.0,6.0,福貞-KY,"['其他', '其他:其他', '鋼鐵', '鋼鐵:金屬製品']",37.0,10.0
3033,4.0,9.0,9.0,10.0,5.0,7.0,10.0,10.0,10.0,2.0,4.0,4.0,5.0,3.0,3.0,4.0,6.0,5.0,10.0,10.0,2.0,1.0,威健,"['半導體', '半導體:IC通路']",27.0,3.0
6285,10.0,9.0,10.0,10.0,7.0,6.0,10.0,10.0,10.0,3.0,7.0,5.0,7.0,4.0,4.0,7.0,10.0,8.0,6.0,10.0,10.0,10.0,啟碁,"['太空衛星科技', '太空衛星科技:天線_射頻基頻', '通信網路', '通信網路:無線通訊設備(如行動電話、衛星定位系統、衛星通訊設備、微波通訊設備、數位機上盒)', '通信網路:網路設備(如數據機、網路卡、閘道器、路由器、網路電話)']",46.0,20.0
4416,8.0,3.0,9.0,1.0,6.0,5.0,1.0,1.0,1.0,10.0,7.0,10.0,6.0,1.0,1.0,9.0,2.0,2.0,5.0,10.0,,,三圓,"['建材營造', '建材營造:建設業']",38.0,
6715,10.0,3.0,4.0,5.0,1.0,7.0,5.0,5.0,5.0,8.0,4.0,10.0,4.0,9.0,9.0,4.0,9.0,5.0,5.0,5.0,9.0,6.0,無資料,無資料,28.0,15.0
2063,7.0,3.0,5.0,3.0,2.0,1.0,4.0,4.0,4.0,7.0,7.0,10.0,7.0,9.0,9.0,7.0,9.0,8.0,9.0,5.0,6.0,6.0,世鎧,"['鋼鐵', '鋼鐵:不鏽鋼棒線', '鋼鐵:螺絲螺帽']",38.0,12.0
2436,8.0,7.0,,6.0,8.0,4.0,6.0,6.0,6.0,6.0,8.0,4.0,10.0,6.0,6.0,10.0,5.0,1.0,4.0,7.0,2.0,6.0,偉詮電,"['元宇宙', '元宇宙:高速傳輸', '半導體', '半導體:微控制器IC', '半導體:消費性IC', '半導體:電源管理IC', '汽車', '汽車:ADAS']",45.0,8.0
3322,3.0,6.0,,6.0,8.0,4.0,6.0,6.0,6.0,5.0,8.0,6.0,5.0,6.0,6.0,6.0,7.0,6.0,5.0,4.0,8.0,6.0,建舜電,"['連接器', '連接器:連接器設計、組裝及製造', '電腦及週邊設備', '電腦及週邊設備:隨身碟、記憶卡讀卡機']",36.0,14.0
8442,9.0,3.0,4.0,8.0,4.0,5.0,8.0,8.0,8.0,5.0,4.0,7.0,5.0,7.0,7.0,7.0,10.0,8.0,8.0,7.0,2.0,6.0,無資料,無資料,37.0,8.0
6179,5.0,5.0,8.0,6.0,7.0,10.0,6.0,6.0,6.0,2.0,10.0,5.0,9.0,4.0,4.0,10.0,5.0,10.0,4.0,1.0,10.0,6.0,亞通,"['建材營造', '建材營造:工程承攬']",51.0,16.0
4123,6.0,9.0,7.0,4.0,9.0,3.0,4.0,4.0,4.0,9.0,9.0,7.0,8.0,1.0,1.0,7.0,1.0,6.0,8.0,4.0,5.0,6.0,晟德,"['製藥', '製藥:中、西藥製劑']",45.0,11.0
